Name, Rating, Description, Order Link, Take Out Link, Address, Hours
Bober Tea & Coffee,4.2,Bubble Tea,https://www.google.com/viewer/chooseprovider?mid=/g/11v07psthp&g2lbs=AAEPWCtsVkaYAN-1PgJQMeFPCTu551sAhgxUJQTd4dAGBcPUsXPOIP6cKWwKIwLrTlLBHuMBRAl2sqzZVQUy1gEeoVJlPNLQrg%3D%3D&hl=en-US&gl=us&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=HO6uZ6fmEqWWkPIPtZLT8AY&ei=HO6uZ6fmEqWWkPIPtZLT8AY&fo_s=OA,SOE&opi=79508299&ebb=1&cs=0&foub=mcpp,n/a,121 Lytton Ave,Closed⋅ Opens 10 AM Fri
Mr. Sun Tea Palo Alto,4,Bubble Tea,https://www.google.com/viewer/chooseprovider?mid=/g/11sy40sg1_&g2lbs=AAEPWCtB21WlzXZzcEBYLaXecuhD44IiK3JAFz-_BsmtrtDDhmJlrBP6TkrEQsvJNoAXQD0MCL3-SIW0Kviy1PXw8F8D28l3lA%3D%3D&hl=en-US&gl=us&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=HO6uZ6fmEqWWkPIPtZLT8AY&ei=HO6uZ6fmEqWWkPIPtZLT8AY&fo_s=OA,SOE&opi=79508299&ebb=1&cs=0&foub=mcpp,n/a,436 University Ave,Closed⋅ Opens 12 PM Fri
UMe Tea,4.1,Tea house,https://www.google.com/viewer/chooseprovider?mid=/g/11nxs3lr71&g2lbs=AAEPWCvtgwLVutg-PlDqQ-WJ25WRIeSMzNBk9x_yu761XQg4dlT_vmF-cTUsVNKzeYPsX92GY3yKSbwYcOQAev--d-cGGJb39w%3D%3D&hl=en-US&gl=us&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=HO6uZ6fmEqWWkPIPtZLT8AY&ei=HO6uZ6fmEqWWkPIPtZLT8AY&fo_s=OA,SOE&opi=79508299&ebb=1&cs=0&foub=mcpp,n/a,421 California Ave,Closed⋅ Opens 12 PM Fri
T4,4.1,Bubble TeaCute cafe for a variety of bubble teas,https://www.google.com/viewer/chooseprovider?mid=/g/11b6gjnl5s&g2lbs=AAEPWCsgOueGC_0jZW5q4MPXFUTHyGND2oRWnlpr3RAh8rWch6IMCq3hP2PwayU72DCpkkqxVRh6l2_ujWgleog6gAUec5zgig%3D%3D&hl=en-US&gl=us&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=HO6uZ6fmEqWWkPIPtZLT8AY&ei=HO6uZ6fmEqWWkPIPtZLT8AY&fo_s=OA,SOE&opi=79508299&ebb=1&cs=0&foub=mcpp,n/a,165 University Ave #D,Closed⋅ Opens 11 AM Fri
Wanpo Tea Shop,3.9,Bubble Tea,https://www.google.com/viewer/chooseprovider?mid=/g/11qpp_4svp&g2lbs=AAEPWCtym7ksRonbM3VhQf3K7aTsR_bI1rVITJEua4LXNfbw2qf1zwS2T7rqBZF_iYm0YCJfdsiSNRhE5xRx5uhc4rkqPMjo9Q%3D%3D&hl=en-US&gl=us&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=HO6uZ6fmEqWWkPIPtZLT8AY&ei=HO6uZ6fmEqWWkPIPtZLT8AY&fo_s=OA,SOE&opi=79508299&ebb=1&cs=0&foub=mcpp,n/a,660 Stanford Shopping Center #721,Closed⋅ Opens 11 AM Fri
Boba Guys Palo Alto,4.3,Bubble Tea,https://www.google.com/viewer/chooseprovider?mid=/g/11fj9cgszb&g2lbs=AAEPWCtK5bphPJ4GXtj53spuXL6EEu8RTtxeWFmsy-vf0FWuf-L3mRzW5PjSpRVecnJ_oZpzv426KuvKxgzBegNMjmU3gwEDIQ%3D%3D&hl=en-US&gl=us&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=HO6uZ6fmEqWWkPIPtZLT8AY&ei=HO6uZ6fmEqWWkPIPtZLT8AY&fo_s=OA,SOE&opi=79508299&ebb=1&cs=0&foub=mcpp,n/a,855 El Camino Real #120,Closed⋅ Opens 10 AM Fri
