Name, Rating, Description, Order Link, Take Out Link, Address, Hours
Bober Tea & Coffee,4.2,Bubble Tea,https://www.google.com/viewer/chooseprovider?mid=/g/11v07psthp&g2lbs=AAEPWCtLQJ0NhKekV7AKyx9cRm6ciwy8UXLmFtJYOHJorFYmBdS8lNQHcfnGAaO_xYZ2AeUSTWdplwYjGQtz4O3fG6dwZaLkTg%3D%3D&hl=en-US&gl=us&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=Vu-uZ-34DvOhur8P5o76-AU&ei=Vu-uZ-34DvOhur8P5o76-AU&fo_s=OA,SOE&opi=79508299&ebb=1&cs=0&foub=mcpp,n/a,121 Lytton Ave,Closed⋅ Opens 10 AM Fri 
Mr. Sun Tea Palo Alto,4.0,Bubble Tea,https://www.google.com/viewer/chooseprovider?mid=/g/11sy40sg1_&g2lbs=AAEPWCtPx5itLEEiBTlqTNOOoYRUinqK2nz-oCtpgBFQnSuuOOxg1Sd8RDa0B-sPvUZCkEn0-vBD3THFJAOcTbU7T8K4-51jnw%3D%3D&hl=en-US&gl=us&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=Vu-uZ-34DvOhur8P5o76-AU&ei=Vu-uZ-34DvOhur8P5o76-AU&fo_s=OA,SOE&opi=79508299&ebb=1&cs=0&foub=mcpp,n/a,436 University Ave,Closed⋅ Opens 12 PM Fri 
UMe Tea,4.1,Tea house,https://www.google.com/viewer/chooseprovider?mid=/g/11nxs3lr71&g2lbs=AAEPWCtnMb-AwY1NSqG2LMDNksENZ8BRKnAzQtRBPoPOVzrV-SSL425wHgYmOHO_GMQPE02cMgrRPwg7IDuVWqTyRENy8LRzYQ%3D%3D&hl=en-US&gl=us&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=Vu-uZ-34DvOhur8P5o76-AU&ei=Vu-uZ-34DvOhur8P5o76-AU&fo_s=OA,SOE&opi=79508299&ebb=1&cs=0&foub=mcpp,n/a,421 California Ave,Closed⋅ Opens 12 PM Fri 
T4,4.1,Bubble TeaCute cafe for a variety of bubble teas,https://www.google.com/viewer/chooseprovider?mid=/g/11b6gjnl5s&g2lbs=AAEPWCuWyeNemYF6k3g-dyumJX3QVDy6uD1YMMxMOkeaniUiEBg7VxuiS6mq3JdBjsE5opb_lCfpJt48Iba6a2Jgs75SUGmF6A%3D%3D&hl=en-US&gl=us&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=Vu-uZ-34DvOhur8P5o76-AU&ei=Vu-uZ-34DvOhur8P5o76-AU&fo_s=OA,SOE&opi=79508299&ebb=1&cs=0&foub=mcpp,n/a,165 University Ave #D,Closed⋅ Opens 11 AM Fri 
Wanpo Tea Shop,3.9,Bubble Tea,https://www.google.com/viewer/chooseprovider?mid=/g/11qpp_4svp&g2lbs=AAEPWCsvu2BTbD7J_dMHFjCW1PNLLYO63Kgf_HkngwyyuY4JWe7sPF5eqdTwkdWh918yLEyhkrwjBdN1MwxEvgO_5fdWEhJGHA%3D%3D&hl=en-US&gl=us&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=Vu-uZ-34DvOhur8P5o76-AU&ei=Vu-uZ-34DvOhur8P5o76-AU&fo_s=OA,SOE&opi=79508299&ebb=1&cs=0&foub=mcpp,n/a,660 Stanford Shopping Center #721,Closed⋅ Opens 11 AM Fri 
Boba Guys Palo Alto,4.3,Bubble Tea,https://www.google.com/viewer/chooseprovider?mid=/g/11fj9cgszb&g2lbs=AAEPWCuIQSlnDWDRgN4QGwkmZL6ZEcVuMBE8WxJL2kKdDFIB4ODl-2-EsKWOIt0c2MCrFhWolzmMsvcdnJ9gL3gfTtO1V2P1CA%3D%3D&hl=en-US&gl=us&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=Vu-uZ-34DvOhur8P5o76-AU&ei=Vu-uZ-34DvOhur8P5o76-AU&fo_s=OA,SOE&opi=79508299&ebb=1&cs=0&foub=mcpp,n/a,855 El Camino Real #120,Closed⋅ Opens 10 AM Fri 
